feature,importance
BroadcastName_L LAWSON,0.0017279052
FP3_AvgLapTimeOnTyre_WET,0.0016624886
FP1_Driver_LAW,0.0016553564
FP1_FastestLapTimeOnTyre_WET,0.0016532324
Country_China,0.0016210128
FP3_MaxStint_INTERMEDIATE,0.0016153326
Abbreviation_RIC,0.0015889179
FP1_SCDeployed,0.001571491
FP2_Driver_ZHO,0.0015314644
EventFormat_sprint_shootout,0.001465977
Country_Japan,0.0014584572
FP3_Driver_PER,0.0014482993
BroadcastName_O PIASTRI,0.0014054738
FP1_AvgTyreLife_WET,0.0013410444
Abbreviation_HUL,0.0013019217
CountryCode_NZL,0.0012957826
Abbreviation_LEC,0.0012062275
CountryCode_MEX,0.0011474936
FP2_Driver_PER,0.0011348233
FP3_AvgTyreLife_WET,0.0010054384
Country_Saudi Arabia,0.00091257796
Abbreviation_PER,0.00084922975
Country_Azerbaijan,0.00083596644
Location_Jeddah,0.0008357636
Location_Sakhir,0.0007866168
Location_Suzuka,0.0007789439
BroadcastName_K MAGNUSSEN,0.0007765681
Abbreviation_BOT,0.0
Abbreviation_BOR,0.0
Country_Great Britain,0.0
Abbreviation_COL,0.0
Abbreviation_BEA,0.0
FP2_RACEYEAR,0.0
Abbreviation_ANT,0.0
Country_Austria,0.0
Abbreviation_DEV,0.0
BroadcastName_Y TSUNODA,0.0
BroadcastName_O BEARMAN,0.0
BroadcastName_N DE VRIES,0.0
FP3_FastestSpeedOnTyre_WET,0.0
BroadcastName_L STROLL,0.0
DriverId_bortoleto,0.0
Country_Hungary,0.0
Country_Abu Dhabi,0.0
Location_Baku,0.0
Location_Austin,0.0
FP3_VSCDeployed,0.0
Country_United Kingdom,0.0
BroadcastName_E OCON,0.0
Country_United Arab Emirates,0.0
Country_Spain,0.0
BroadcastName_F COLAPINTO,0.0
BroadcastName_G BORTOLETO,0.0
Country_Singapore,0.0
BroadcastName_G ZHOU,0.0
Country_Netherlands,0.0
Country_Monaco,0.0
BroadcastName_I HADJAR,0.0
Country_Mexico,0.0
BroadcastName_J DOOHAN,0.0
BroadcastName_K ANTONELLI,0.0
Country_Italy,0.0
Abbreviation_HAD,0.0
CountryCode_USA,0.0
DriverId_hulkenberg,0.0
DriverId_piastri,0.0
DriverId_albon,0.0
DriverId_perez,0.0
DriverId_ocon,0.0
DriverId_norris,0.0
Location_Barcelona,0.0
DriverId_lawson,0.0
DriverId_kevin_magnussen,0.0
DriverId_hadjar,0.0
Abbreviation_DOO,0.0
DriverId_gasly,0.0
DriverId_doohan,0.0
DriverId_alonso,0.0
DriverId_antonelli,0.0
DriverId_bearman,0.0
DriverId_de_vries,0.0
FP3_RACEYEAR,0.0
DriverId_colapinto,0.0
Abbreviation_ZHO,0.0
DriverId_ricciardo,0.0
DriverId_russell,0.0
DriverId_sainz,0.0
