feature,importance
FP3_TotalPitStops,0.0024361494
FP3_FastestSpeedOnTyre_HARD,0.002435577
FP1_MaxStint_INTERMEDIATE,0.0023919914
FP3_AvgSpeedOnTyre_SOFT,0.0023916117
FP3_Humidity_mean,0.002387234
FP3_Yellow,0.0023821483
RACE_AvgSpeedOnTyre_HARD,0.0023654164
FP3_WindDirection_mean,0.002364463
FP1_WindSpeed_mean,0.0023543567
Abbreviation_TSU,0.0023520733
FP3_AvgSector2Time_ms,0.0023379289
FP2_Humidity_mean,0.0023324762
FP1_Pressure_min,0.0023257898
BroadcastName_Y TSUNODA,0.002324557
RACE_Humidity_min,0.0023010056
Quali_FastestSpeedOnTyre_INTERMEDIATE,0.0022843806
RACE_TrackTemp_min,0.0022522986
Quali_AvgSector2Time_ms,0.0022488742
RACE_FastestLapTimeOnTyre_HARD,0.002235962
Quali_FastestLapTimeOnTyre_MEDIUM,0.00223432
FP3_Pressure_min,0.0022289837
FP2_AirTemp_mean,0.0022096096
BroadcastName_L SARGEANT,0.0021958984
FP2_FastestSpeedOnTyre_HARD,0.002177125
RACE_AvgSpeedOnTyre_MEDIUM,0.0021734287
FP2_AvgTyreLife_INTERMEDIATE,0.002120698
RACE_VSCDeployed,0.002120397
RACE_MaxStint_SOFT,0.00207568
FP1_TrackTemp_min,0.0020644169
RACE_AvgLapTimeOnTyre_SOFT,0.0020522974
FP1_FastestSpeedOnTyre_SOFT,0.0019947884
Quali_AvgSector1Time_ms,0.001981822
fast,0.0019783236
Quali_AvgLapTimeOnTyre_SOFT,0.0019635241
RACE_AirTemp_max,0.0019600347
RACE_FastestSpeedOnTyre_INTERMEDIATE,0.0019379184
medium,0.0019279919
RACE_Red,0.0018479448
RACE_Pressure_mean,0.0018287116
FP3_AvgLapTimeOnTyre_HARD,0.0018261449
RACE_AvgSector2Time_ms,0.0018141555
RACE_FastestLapTimeOnTyre_MEDIUM,0.0018139443
FP1_TrackTemp_mean,0.0017822974
slow,0.0017573774
FP1_TotalPitStops,0.0017318743
TeamName_Alpine,0.0016497287
Quali_Humidity_min,0.0016269301
Quali_AvgSpeedOnTyre_HARD,0.0016185101
RACE_FastestLapTimeOnTyre_INTERMEDIATE,0.0015962014
FP3_AirTemp_mean,0.0015930756
Quali_AvgSpeedOnTyre_MEDIUM,0.0014656755
FP1_MaxStint_WET,0.0013968938
Session2TimeOfDay_evening,0.0013714306
FP2_Pressure_min,0.0013148489
FP2_Pressure_max,0.0012250323
TotalCorners,0.0011754099
FP2_Humidity_max,0.0011172297
Quali_AvgLapTimeOnTyre_MEDIUM,0.0011043891
FP2_TrackTemp_max,0.0009632276
FP1_AvgLapTimeOnTyre_WET,0.0009217817
RACE_MaxStint_WET,0.0009060092
FP3_MaxStint_HARD,0.0008742484
RACE_FastestLapTimeOnTyre_WET,0.0008720433
TeamId_ferrari,0.0008651827
BroadcastName_N DE VRIES,0.0
FP3_AvgTyreLife_INTERMEDIATE,0.0
Quali_AvgLapTimeOnTyre_HARD,0.0
Quali_FastestSpeedOnTyre_UNKNOWN,0.0
Quali_FastestSpeedOnTyre_WET,0.0
FP3_AvgTyreLife_WET,0.0
Quali_FastestSpeedOnTyre_MEDIUM,0.0
FP1_AvgTyreLife_INTERMEDIATE,0.0
Quali_AvgLapTimeOnTyre_UNKNOWN,0.0
Quali_AvgLapTimeOnTyre_WET,0.0
FP3_FastestSpeedOnTyre_WET,0.0
Quali_FastestLapTimeOnTyre_HARD,0.0
BroadcastName_M VERSTAPPEN,0.0
FP3_SCDeployed,0.0
BroadcastName_L NORRIS,0.0
FP3_VSCDeployed,0.0
BroadcastName_C LECLERC,0.0
BroadcastName_L HAMILTON,0.0
Abbreviation_HUL,0.0
BroadcastName_D RICCIARDO,0.0
