,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamId,CountryCode,Position,ClassifiedPosition,GridPosition,Time,Status,Points,RACEYEAR,RACENUMBER,WinnerTime,WinnerDriver,Racepace,IsWinnerFlag,RACE_AirTemp_mean,RACE_AirTemp_min,RACE_AirTemp_max,RACE_Humidity_mean,RACE_Humidity_min,RACE_Humidity_max,RACE_Pressure_mean,RACE_Pressure_min,RACE_Pressure_max,RACE_Rainfall_max,RACE_TrackTemp_mean,RACE_TrackTemp_min,RACE_TrackTemp_max,RACE_WindDirection_mean,RACE_WindSpeed_mean,RACE_WindSpeed_max,RACE_SESSIONTYPE_first,Driver_x,AvgPitStopDuration_ms,TotalPitStops,Driver_y,RACE_MaxStint_HARD,RACE_MaxStint_INTERMEDIATE,RACE_MaxStint_MEDIUM,RACE_MaxStint_SOFT,RACE_MaxStint_WET,RACE_AvgTyreLife_HARD,RACE_AvgTyreLife_INTERMEDIATE,RACE_AvgTyreLife_MEDIUM,RACE_AvgTyreLife_SOFT,RACE_AvgTyreLife_WET,RACE_AvgSpeedOnTyre_HARD,RACE_AvgSpeedOnTyre_INTERMEDIATE,RACE_AvgSpeedOnTyre_MEDIUM,RACE_AvgSpeedOnTyre_SOFT,RACE_AvgSpeedOnTyre_WET,RACE_AvgLapTimeOnTyre_HARD,RACE_AvgLapTimeOnTyre_INTERMEDIATE,RACE_AvgLapTimeOnTyre_MEDIUM,RACE_AvgLapTimeOnTyre_SOFT,RACE_AvgLapTimeOnTyre_WET,RACE_Red,RACE_SCDeployed,RACE_VSCDeployed,RACE_Yellow,fast,medium,slow,TotalCorners,Country,Location,OfficialEventName,EventName,EventFormat,Session1TimeOfDay,Session2TimeOfDay,Session3TimeOfDay,Session4TimeOfDay,Session5TimeOfDay
31,27,N HULKENBERG,HUL,hulkenberg,Haas F1 Team,haas,GER,12.0,12,10.0,70588.0,Finished,0.0,2023,2,4874894.0,perez,0.014479904588694647,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,HUL,21515.0,1.0,HUL,2.0,,1.0,,,20.0,,5.5,,,291.8974358974359,,299.2,,,99270.64102564103,,97486.1,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
32,24,G ZHOU,ZHO,zhou,Alfa Romeo,alfa,CHN,13.0,13,11.0,76060.0,Finished,0.0,2023,2,4874894.0,perez,0.015602390534030073,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,ZHO,21476.5,2.0,ZHO,2.0,,3.0,,,3.5,,13.880952380952381,,,279.6666666666667,,293.14285714285717,,,101268.0,,97771.09523809524,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
33,21,N DE VRIES,DEV,de_vries,AlphaTauri,alphatauri,NED,14.0,14,18.0,77478.0,Finished,0.0,2023,2,4874894.0,perez,0.015893268653636366,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,DEV,21109.0,1.0,DEV,2.0,,1.0,,,17.0,,8.5,,,292.93939393939394,,295.6875,,,99465.45454545454,,97543.125,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
34,81,O PIASTRI,PIA,piastri,McLaren,mclaren,AUS,15.0,15,8.0,85021.0,Finished,0.0,2023,2,4874894.0,perez,0.017440584349116103,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,PIA,31390.0,1.0,PIA,2.0,,,,,25.0,,,,,291.9591836734694,,,,,99033.89795918367,,,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
35,2,L SARGEANT,SAR,sargeant,Williams,williams,USA,16.0,16,20.0,86293.0,Finished,0.0,2023,2,4874894.0,perez,0.017701513099566885,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,SAR,21063.0,1.0,SAR,1.0,,2.0,,,9.0,,16.5,,,296.47058823529414,,299.21875,,,98204.41176470589,,98608.96875,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
36,4,L NORRIS,NOR,norris,McLaren,mclaren,GBR,17.0,17,19.0,86445.0,Finished,0.0,2023,2,4874894.0,perez,0.01773269326471509,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,NOR,25382.0,2.0,NOR,2.0,,3.0,1.0,,8.5,,16.0,1.0,,280.75,,301.35483870967744,298.0,,101659.0625,,96932.67741935483,106323.0,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
37,77,V BOTTAS,BOT,bottas,Alfa Romeo,alfa,FIN,18.0,18,14.0,29584.0,Lapped,0.0,2023,2,4874894.0,perez,0.0060686447746351,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,BOT,21801.333333333332,3.0,BOT,2.0,,3.0,4.0,,4.0,,7.833333333333333,7.5,,288.85714285714283,,291.5833333333333,290.35714285714283,,98821.14285714286,,99468.66666666667,96922.85714285714,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
38,23,A ALBON,ALB,albon,Williams,williams,THA,19.0,R,17.0,,Retired,0.0,2023,2,4874894.0,perez,,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,ALB,21375.0,1.0,ALB,2.0,,1.0,,,5.5,,8.5,,,295.5,,300.0,,,107572.75,,97399.4375,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
39,18,L STROLL,STR,stroll,Aston Martin,aston_martin,CAN,20.0,R,5.0,,Retired,0.0,2023,2,4874894.0,perez,,0,26.09189189189189,25.8,26.4,57.79054054054054,55.0,62.0,1010.9297297297297,1010.5,1011.4,False,31.79256756756757,29.9,34.3,271.1621621621622,1.7722972972972975,3.7,R,STR,21156.0,1.0,STR,2.0,,1.0,,,3.0,,6.5,,,279.6666666666667,,295.5833333333333,,,102350.66666666667,,95965.75,,,0,1,0,1,11,1,15,27,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabian Grand Prix,conventional,afternoon,evening,afternoon,evening,evening
40,1,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,NED,1.0,1,1.0,9158371.0,Finished,25.0,2023,3,9158371.0,max_verstappen,1.0,1,17.449549549549552,16.8,18.1,54.15765765765766,50.0,61.0,1018.3666666666667,1018.0,1018.7,False,30.13963963963964,19.2,35.4,138.07207207207207,1.127027027027027,5.0,R,VER,1216433.6666666667,3.0,VER,2.0,,1.0,,,24.0,,4.0,,,284.4888888888889,,266.0,,,83014.82222222222,,101248.71428571429,,,4,3,1,6,4,2,8,14,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,Australian Grand Prix,conventional,afternoon,afternoon,afternoon,afternoon,afternoon
