,RACEYEAR,RACENUMBER,FP3_AirTemp_mean,FP3_AirTemp_min,FP3_AirTemp_max,FP3_Humidity_mean,FP3_Humidity_min,FP3_Humidity_max,FP3_Pressure_mean,FP3_Pressure_min,FP3_Pressure_max,FP3_Rainfall_max,FP3_TrackTemp_mean,FP3_TrackTemp_min,FP3_TrackTemp_max,FP3_WindDirection_mean,FP3_WindSpeed_mean,FP3_WindSpeed_max,Driver,AvgPitStopDuration_ms,TotalPitStops,FP3_MaxStint_HARD,FP3_MaxStint_INTERMEDIATE,FP3_MaxStint_MEDIUM,FP3_MaxStint_SOFT,FP3_MaxStint_UNKNOWN,FP3_MaxStint_WET,FP3_AvgTyreLife_HARD,FP3_AvgTyreLife_INTERMEDIATE,FP3_AvgTyreLife_MEDIUM,FP3_AvgTyreLife_SOFT,FP3_AvgTyreLife_UNKNOWN,FP3_AvgTyreLife_WET,FP3_AvgSpeedOnTyre_HARD,FP3_AvgSpeedOnTyre_INTERMEDIATE,FP3_AvgSpeedOnTyre_MEDIUM,FP3_AvgSpeedOnTyre_SOFT,FP3_AvgSpeedOnTyre_UNKNOWN,FP3_AvgSpeedOnTyre_WET,FP3_FastestSpeedOnTyre_HARD,FP3_FastestSpeedOnTyre_INTERMEDIATE,FP3_FastestSpeedOnTyre_MEDIUM,FP3_FastestSpeedOnTyre_SOFT,FP3_FastestSpeedOnTyre_UNKNOWN,FP3_FastestSpeedOnTyre_WET,FP3_AvgLapTimeOnTyre_HARD,FP3_AvgLapTimeOnTyre_INTERMEDIATE,FP3_AvgLapTimeOnTyre_MEDIUM,FP3_AvgLapTimeOnTyre_SOFT,FP3_AvgLapTimeOnTyre_UNKNOWN,FP3_AvgLapTimeOnTyre_WET,FP3_FastestLapTimeOnTyre_HARD,FP3_FastestLapTimeOnTyre_INTERMEDIATE,FP3_FastestLapTimeOnTyre_MEDIUM,FP3_FastestLapTimeOnTyre_SOFT,FP3_FastestLapTimeOnTyre_UNKNOWN,FP3_FastestLapTimeOnTyre_WET,FP3_Red,FP3_SCDeployed,FP3_VSCDeployed,FP3_Yellow
21,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,ALO,384390.0,4,3.0,,,5.0,,,4.5,,,5.285714285714286,,,290.3333333333333,,,266.7142857142857,,,295.0,,,303.0,,,97706.66666666667,,,111143.85714285714,,,92561.0,,,89483.0,,,0,0,0,0
22,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,BOT,346074.3333333332,3,,,,4.0,,,,,,5.538461538461538,,,,,,277.38461538461536,,,,,,300.0,,,,,,103260.0,,,,,,90317.0,,,0,0,0,0
23,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,GAS,396953.3333333333,3,,,,4.0,,,,,,5.0,,,,,,278.54545454545456,,,,,,304.0,,,,,,105948.36363636363,,,,,,89701.0,,,0,0,0,0
24,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,HAM,360584.6666666667,3,,,,4.0,,,,,,5.0,,,,,,263.0,,,,,,301.0,,,,,,103485.0,,,,,,89568.0,,,0,0,0,0
25,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,HUL,273875.49999999994,4,,,2.0,5.0,,,,,5.5,4.25,,,,,295.0,256.75,,,,,298.0,303.0,,,,,110921.33333333333,108688.25,,,,,91165.0,89933.0,,,0,0,0,0
26,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,LEC,654469.0,2,,,2.0,3.0,,,,,4.8,3.3333333333333335,,,,,291.6,296.3333333333333,,,,,298.0,297.0,,,,,103936.6,99566.66666666667,,,,,90604.0,89588.0,,,0,0,0,0
27,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,MAG,428166.6666666667,3,,,1.0,4.0,,,,,3.0,4.75,,,,,295.0,225.0,,,,,299.0,299.0,,,,,108040.66666666667,104642.25,,,,,91245.0,90131.0,,,0,0,0,0
28,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,NOR,406411.6666666667,3,,,,4.0,,,,,,7.125,,,,,,263.5,,,,,,302.0,,,,,,107202.875,,,,,,89690.0,,,0,0,0,0
29,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,OCO,383923.0,3,,,,4.0,,,,,,5.0,,,,,,281.6363636363636,,,,,,303.0,,,,,,105803.54545454546,,,,,,89953.0,,,0,0,0,0
30,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,PER,536275.0,2,,,,3.0,,,,,,7.166666666666667,,,,,,305.3333333333333,,,,,,308.0,,,,,,97026.5,,,,,,89098.0,,,0,0,0,0
31,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,PIA,455213.0,2,,,3.0,2.0,,,,,7.181818181818182,4.5,,,,,267.1818181818182,296.1666666666667,,,,,294.0,303.0,,,,,105339.27272727272,109270.66666666667,,,,,91161.0,89698.0,,,0,0,0,0
32,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,RUS,480791.5,2,,,,3.0,,,,,,5.076923076923077,,,,,,279.0,,,,,,305.0,,,,,,115953.53846153847,,,,,,89811.0,,,0,0,0,0
33,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,SAI,597524.5,2,,,2.0,3.0,,,,,5.25,3.3333333333333335,,,,,288.0,294.6666666666667,,,,,293.0,297.0,,,,,92868.5,98772.33333333333,,,,,90828.0,89761.0,,,0,0,0,0
34,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,SAR,287153.0,3,,,,4.0,,,,,,4.7,,,,,,280.5,,,,,,306.0,,,,,,111442.6,,,,,,90035.0,,,0,0,0,0
35,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,STR,402046.25,4,3.0,,,5.0,,,5.5,,,4.8,,,293.75,,,257.0,,,298.0,,,301.0,,,101148.5,,,108415.4,,,91031.0,,,89509.0,,,0,0,0,0
36,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,TSU,217757.66666666666,3,,,4.0,,,,,,10.5,,,,,,277.5,,,,,,302.0,,,,,,109658.35714285714,,,,,,90797.0,,,,0,0,0,0
37,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,VER,473283.5,2,1.0,,,3.0,,,4.666666666666667,,,5.8,,,305.5,,,256.2,,,306.0,,,310.0,,,105830.5,,,100661.0,,,89549.0,,,88485.0,,,0,0,0,0
