X,Y,Number,Letter,Angle,Distance,RACEYEAR,RACENUMBER,SESSIONTYPE
-3104.1254266500055,2806.184304442164,24,,-188.77163719765326,4457.149048904219,2022,2,R
-4073.934794761703,93.77447360417227,25,,-183.33071234860574,4744.524301458428,2022,2,R
-3097.992407379881,-3343.273850025347,26,,-144.71499434218612,5117.83135643668,2022,2,R
-126.0020350712939,-5554.263009208047,27,,-50.14775596432159,5493.454230763331,2022,2,R
-3650.594482421875,1193.7841796875,1,,-176.6327301808908,342.47993623395183,2022,3,R
-3555.05322265625,1992.750244140625,2,,-1.517006670514226,439.0989134323811,2022,3,R
-7194.97021484375,7101.9423828125,3,,162.2583145895855,1070.902651793955,2022,3,R
-5878.734375,7709.86474609375,4,,-23.426262936440693,1227.781903467959,2022,3,R
-5870.66259765625,9676.8056640625,5,,159.21595924901473,1424.8869806781045,2022,3,R
-2280.641357421875,11861.5595703125,6,,96.73626629832673,1853.430815688229,2022,3,R
-1296.3824462890625,11398.0087890625,7,,-104.06590313985107,1951.5169434585202,2022,3,R
502.41253662109375,10576.3115234375,8,,39.145641733921856,2148.1274785338296,2022,3,R
2838.84375,798.9598388671875,9,,-101.19733361565356,3247.1503992363882,2022,3,R
3973.896484375,855.0198974609375,10,,73.47677062265704,3362.5123387514955,2022,3,R
7489.130859375,-4851.34521484375,11,,-15.779635368175516,4073.1268194674894,2022,3,R
5020.2177734375,-5538.8876953125,12,,-106.08289509535402,4335.800121455187,2022,3,R
3587.2265625,-3634.0,13,,89.83929687485767,4572.28056532866,2022,3,R
2300.2841796875,-4454.0234375,14,,-97.4032457365232,4742.092269608656,2022,3,R
-4002.5498661460833,-1659.2946044991618,1,,-97.82392870469776,245.06696692542346,2022,4,R
-10194.152086855822,-1797.2700204435946,2,,111.88313377257879,880.9964413761966,2022,4,R
-10487.442618448618,-2314.6945517724075,3,,-30.15716702996394,937.4268562433255,2022,4,R
-11612.711556602806,-3147.8826331294936,4,,140.59195787354795,1071.4367511186488,2022,4,R
-13160.352086037015,-7153.475069517273,5,,-178.31172884591876,1518.7247478087656,2022,4,R
-13043.750758589213,-8102.168121445727,6,,-21.4386519733737,1608.1548972337973,2022,4,R
-14871.735794051183,-10110.13631173347,7,,-171.05139602443612,1884.2782195117866,2022,4,R
-11074.14236341196,-9919.316626373356,8,,90.9730095125042,2281.665402857361,2022,4,R
-8677.443388922406,-9848.486839053796,9,,-41.148155207078,2537.0443772964254,2022,4,R
-8237.282519977727,-8597.52562471613,10,,-180.56795042522023,2666.2507890274055,2022,4,R
-8627.001765725101,-6142.266366985422,11,,-191.14447209022003,2916.831399307268,2022,4,R
-8140.502538082326,-5357.265931568226,12,,115.09022178802522,3021.9575380231995,2022,4,R
-7328.02827991963,-5441.099711541869,13,,-90.97901268389123,3105.199601436561,2022,4,R
-3203.535205733467,-5287.1526108486405,14,,64.02888553347759,3514.8367230291574,2022,4,R
-2813.3766286096075,-5561.05664668873,15,,-96.25082233626188,3571.36032793234,2022,4,R
1549.6159178222933,-2360.470641944083,16,,-51.56989885889029,4125.754663569781,2022,4,R
3183.621546926235,-1411.8382518196768,17,,-7.579908469050402,4309.077374137253,2022,4,R
2461.8283511989794,-336.4552654753461,18,,86.24746693674015,4449.307825711384,2022,4,R
-395.8334440528106,-1491.902321353356,19,,-73.50537254412396,4763.316327514536,2022,4,R
5000.369793483242,-1839.8522404781493,1,,13.105267748793366,364.41292362169236,2022,5,R
4462.642212325851,-2689.7583956578064,2,,-204.28272131554675,473.9036481699404,2022,5,R
4309.500670688195,-3575.67295168473,3,,-26.05420127632257,560.2795495565633,2022,5,R
-676.0693652512309,-2600.6091257160274,4,,98.59121328981095,1135.5814201494647,2022,5,R
-1907.3326955178982,-3176.9562439254723,5,,-88.84133007407493,1267.7241351468367,2022,5,R
-3137.5593907383045,-2430.703374495633,6,,76.7596891131636,1393.4338888888888,2022,5,R
-4269.134881984064,-3061.383489615324,7,,-206.14602841635806,1536.9732187101204,2022,5,R
-4102.85861495594,-3929.779531894037,8,,-103.47547732876453,1636.3612965971734,2022,5,R
1099.937315405985,-4144.409317682837,9,,-103.85433294911317,2144.2321663874527,2022,5,R
3806.3527998616332,-4793.668301112775,10,,-89.35439995404974,2438.613953812291,2022,5,R
9665.021110379748,-2550.919180644675,11,,-14.93577695515648,3067.138644846254,2022,5,R
9121.664811212708,-1632.476629886879,12,,-190.68247210100918,3192.18626740716,2022,5,R
10178.349780215427,-1114.2869760280732,13,,-65.47564941450844,3307.0501566103258,2022,5,R
10550.674337648416,-506.2839966977317,14,,12.80443445178615,3390.8023546092027,2022,5,R
